iter	MultiClass	Accuracy
0	-2.697014253	0.7044444444
1	-2.586880694	0.7155555556
2	-2.485909828	0.7703703704
3	-2.387411161	0.7718518519
4	-2.302729824	0.7651851852
5	-2.201094257	0.8748148148
6	-2.113623166	0.8925925926
7	-2.043963461	0.9037037037
8	-1.98113137	0.9074074074
9	-1.908364432	0.9066666667
10	-1.84349727	0.9066666667
11	-1.767043868	0.9177777778
12	-1.70416725	0.9259259259
13	-1.638959038	0.9259259259
14	-1.597805139	0.9274074074
15	-1.546926828	0.9281481481
16	-1.491348113	0.9244444444
17	-1.436645575	0.9355555556
18	-1.383213417	0.9437037037
19	-1.34120922	0.9459259259
20	-1.298763061	0.9437037037
21	-1.255557226	0.9481481481
22	-1.221780261	0.9555555556
23	-1.183328329	0.9488888889
24	-1.143381728	0.9585185185
25	-1.114266068	0.9585185185
26	-1.087640952	0.9577777778
27	-1.065253023	0.9585185185
28	-1.031663829	0.9592592593
29	-1.010150445	0.9592592593
30	-0.9834553062	0.9555555556
31	-0.954973019	0.9562962963
32	-0.9320543521	0.96
33	-0.9037850388	0.9659259259
34	-0.879444228	0.9681481481
35	-0.860269967	0.9696296296
36	-0.8396435255	0.9725925926
37	-0.8179839664	0.9755555556
38	-0.7968434587	0.977037037
39	-0.7785665202	0.977037037
40	-0.7653894217	0.9762962963
41	-0.7453986923	0.9807407407
42	-0.7272074964	0.98
43	-0.7117587886	0.9777777778
44	-0.6981099664	0.9822222222
45	-0.6824241433	0.982962963
46	-0.6664228302	0.982962963
47	-0.6533034007	0.9837037037
48	-0.6404167545	0.9844444444
49	-0.6270751986	0.9837037037
50	-0.6121546324	0.9837037037
51	-0.5979059422	0.9844444444
52	-0.5885823361	0.9851851852
53	-0.5752918985	0.9859259259
54	-0.5615236489	0.9859259259
55	-0.5501461525	0.9859259259
56	-0.5410294102	0.9866666667
57	-0.5309996647	0.9866666667
58	-0.5203823971	0.9859259259
59	-0.5111496621	0.9859259259
60	-0.5039991336	0.9859259259
61	-0.4937088985	0.9866666667
62	-0.4845096243	0.9866666667
63	-0.4755453188	0.9859259259
64	-0.4657097102	0.9851851852
65	-0.4570078089	0.9859259259
66	-0.4492923717	0.9866666667
67	-0.4420364081	0.9859259259
68	-0.4337882307	0.9859259259
69	-0.4274720428	0.9859259259
70	-0.4202299966	0.9859259259
71	-0.4140222938	0.9859259259
72	-0.4077057929	0.9851851852
73	-0.4013073943	0.9851851852
74	-0.3969023524	0.9851851852
75	-0.392289414	0.9859259259
76	-0.3859712111	0.9859259259
77	-0.3795860692	0.9851851852
78	-0.3736468045	0.9851851852
79	-0.3677494966	0.9859259259
80	-0.3627141579	0.9859259259
81	-0.3561907076	0.9866666667
82	-0.3512900473	0.9866666667
83	-0.344350765	0.9866666667
84	-0.3394055074	0.9866666667
85	-0.3344763124	0.9866666667
86	-0.3299293913	0.9866666667
87	-0.3244127663	0.9866666667
88	-0.3186949308	0.9866666667
89	-0.3146873744	0.9866666667
90	-0.3095803896	0.9866666667
91	-0.3057988273	0.9866666667
92	-0.3001686952	0.9874074074
93	-0.2956338594	0.9874074074
94	-0.2922198376	0.9874074074
95	-0.2879856544	0.9874074074
96	-0.2838015236	0.9874074074
97	-0.2805776221	0.9874074074
98	-0.2772182328	0.9874074074
99	-0.2742381794	0.9874074074
100	-0.2707421336	0.9874074074
101	-0.2661384551	0.9874074074
102	-0.2621900904	0.9881481481
103	-0.2588567119	0.9866666667
104	-0.2543975302	0.9866666667
105	-0.2504262369	0.9866666667
106	-0.2472595388	0.9866666667
107	-0.2441452737	0.9866666667
108	-0.2413432715	0.9866666667
109	-0.2387008624	0.9866666667
110	-0.2362598083	0.9881481481
111	-0.2332693938	0.9881481481
112	-0.230928606	0.9881481481
113	-0.2278974042	0.9881481481
114	-0.2253312348	0.9881481481
115	-0.2216656224	0.9874074074
116	-0.2193988293	0.9874074074
117	-0.2177630721	0.9881481481
118	-0.2155396766	0.9881481481
119	-0.2131301914	0.9874074074
120	-0.2103180975	0.9874074074
121	-0.2077786896	0.9874074074
122	-0.2049649548	0.9874074074
123	-0.2029619184	0.9874074074
124	-0.2011663568	0.9874074074
125	-0.1988328242	0.9874074074
126	-0.1967719334	0.9874074074
127	-0.1946646473	0.9874074074
128	-0.1923866586	0.9874074074
129	-0.1902866831	0.9874074074
