iter	Passed	Remaining
0	346	346481
1	435	217065
2	524	174379
3	612	152615
4	701	139648
5	790	131025
6	879	124700
7	968	120108
8	1057	116464
9	1147	113620
10	1239	111461
11	1326	109227
12	1414	107415
13	1503	105910
14	1593	104639
15	1684	103579
16	1774	102584
17	1860	101514
18	1950	100704
19	2039	99951
20	2129	99294
21	2220	98715
22	2309	98119
23	2399	97583
24	2490	97132
25	2579	96627
26	2670	96230
27	2717	94347
28	2806	93978
29	2896	93667
30	2987	93384
31	3076	93073
32	3165	92754
33	3253	92423
34	3342	92156
35	3432	91902
36	3518	91588
37	3606	91305
38	3696	91082
39	3783	90809
40	3875	90643
41	3964	90421
42	4054	90225
43	4141	89992
44	4231	89792
45	4321	89617
46	4410	89437
47	4498	89213
48	4586	89023
49	4612	87644
50	4702	87494
51	4791	87355
52	4881	87218
53	4971	87087
54	5058	86920
55	5147	86765
56	5237	86649
57	5325	86489
58	5416	86393
59	5504	86229
60	5593	86098
61	5683	85989
62	5775	85894
63	5863	85751
64	5953	85638
65	6043	85520
66	6130	85373
67	6218	85235
68	6306	85089
69	6393	84938
70	6484	84844
71	6572	84706
72	6660	84576
73	6749	84463
74	6839	84356
75	6926	84213
76	7017	84120
77	7106	84002
78	7193	83867
79	7283	83765
80	7372	83641
81	7461	83537
82	7551	83435
83	7640	83318
84	7731	83222
85	7821	83122
86	7909	83006
87	8001	82921
88	8090	82811
89	8179	82707
90	8269	82604
91	8356	82479
92	8445	82362
93	8534	82255
94	8622	82142
95	8713	82053
96	8801	81934
97	8890	81827
98	8978	81713
99	9066	81594
100	9156	81502
101	9246	81409
102	9335	81299
103	9422	81179
104	9512	81079
105	9600	80973
106	9688	80862
107	9778	80766
108	9866	80653
109	9954	80541
110	10044	80443
111	10133	80340
112	10225	80262
113	10313	80157
114	10401	80048
115	10492	79956
116	10581	79860
117	10670	79756
118	10757	79644
119	10846	79542
120	10938	79465
121	11027	79358
122	11117	79266
123	11205	79160
124	11294	79060
125	11381	78949
126	11470	78847
127	11557	78737
128	11645	78632
129	11737	78550
130	11829	78470
131	11916	78361
132	12005	78259
133	12098	78190
134	12186	78086
135	12277	77999
136	12369	77920
137	12459	77824
138	12545	77712
139	12636	77623
140	12727	77538
141	12816	77441
142	12906	77350
143	12995	77250
144	13085	77160
145	13175	77068
146	13266	76981
147	13356	76892
148	13445	76790
149	13533	76691
150	13622	76595
151	13711	76497
152	13798	76390
153	13886	76283
154	13976	76194
155	14065	76096
156	14153	75996
157	14243	75903
158	14332	75810
159	14423	75721
160	14514	75638
161	14604	75544
162	14695	75461
163	14787	75379
164	14875	75278
165	14963	75180
166	15055	75095
167	15143	74997
168	15234	74909
169	15324	74820
170	15414	74731
171	15505	74640
172	15592	74539
173	15683	74451
174	15774	74364
175	15864	74275
176	15956	74191
177	16045	74096
178	16135	74006
179	16225	73918
180	16317	73832
181	16408	73749
182	16496	73649
183	16586	73558
184	16675	73460
185	16765	73369
186	16852	73269
187	16941	73172
188	17030	73079
189	17121	72993
190	17209	72894
191	17300	72805
192	17391	72719
193	17481	72628
194	17570	72534
195	17658	72436
196	17748	72344
197	17836	72245
198	17928	72162
199	18018	72073
200	18107	71979
201	18196	71884
202	18285	71791
203	18374	71697
204	18464	71605
205	18552	71508
206	18641	71414
207	18734	71336
208	18824	71246
209	18912	71146
210	19002	71055
211	19094	70972
212	19142	70728
213	19230	70633
214	19322	70548
215	19413	70463
216	19504	70379
217	19594	70287
218	19683	70195
219	19773	70106
220	19861	70008
221	19950	69916
222	20040	69826
223	20131	69742
224	20221	69652
225	20312	69565
226	20401	69474
227	20491	69382
228	20579	69288
229	20670	69200
230	20758	69105
231	20847	69011
232	20934	68912
233	21022	68816
234	21111	68724
235	21198	68627
236	21286	68531
237	21377	68445
238	21465	68349
239	21555	68258
240	21648	68178
241	21737	68085
242	21828	67999
243	21917	67908
244	22006	67815
245	22093	67717
246	22181	67621
247	22271	67533
248	22362	67445
249	22452	67357
250	22542	67266
251	22631	67175
252	22719	67081
253	22807	66986
254	22897	66896
255	22986	66803
256	23073	66705
257	23161	66612
258	23252	66524
259	23341	66434
260	23429	66339
261	23521	66254
262	23610	66164
263	23701	66075
264	23790	65985
265	23882	65902
266	23974	65817
267	24063	65725
268	24152	65633
269	24240	65540
270	24332	65455
271	24424	65370
272	24513	65280
273	24603	65190
274	24691	65095
275	24780	65004
276	24872	64920
277	24962	64829
278	25050	64736
279	25144	64656
280	25236	64572
281	25326	64484
282	25416	64394
283	25506	64305
284	25597	64217
285	25687	64128
286	25776	64037
287	25867	63950
288	25959	63865
289	26050	63778
290	26138	63684
291	26227	63593
292	26316	63501
293	26406	63412
294	26495	63320
295	26584	63227
296	26672	63134
297	26761	63042
298	26849	62947
299	26937	62853
300	27028	62766
301	27115	62670
302	27204	62579
303	27294	62490
304	27383	62398
305	27472	62306
306	27559	62211
307	27647	62117
308	27735	62022
309	27824	61931
310	27914	61842
311	28002	61749
312	28090	61655
313	28178	61562
314	28267	61470
315	28354	61375
316	28443	61283
317	28531	61189
318	28620	61098
319	28708	61005
320	28800	60920
321	28889	60829
322	28977	60736
323	29065	60643
324	29153	60549
325	29241	60456
326	29331	60366
327	29419	60274
328	29508	60182
329	29597	60092
330	29685	59999
331	29777	59912
332	29866	59823
333	29956	59733
334	30044	59640
335	30132	59546
336	30220	59453
337	30308	59360
338	30398	59271
339	30485	59177
340	30576	59091
341	30667	59004
342	30755	58911
343	30846	58823
344	30934	58730
345	31023	58639
346	31110	58545
347	31199	58453
348	31288	58363
349	31378	58273
350	31470	58188
351	31558	58095
352	31648	58006
353	31738	57917
354	31828	57829
355	31916	57736
356	32005	57645
357	32095	57556
358	32185	57467
359	32275	57378
360	32363	57285
361	32452	57196
362	32542	57105
363	32628	57010
364	32719	56922
365	32807	56830
366	32898	56742
367	32988	56654
368	33078	56564
369	33166	56473
370	33254	56380
371	33343	56290
372	33433	56199
373	33522	56109
374	33610	56017
375	33701	55930
376	33794	55845
377	33884	55756
378	33974	55667
379	34062	55576
380	34153	55488
381	34242	55396
382	34333	55310
383	34421	55218
384	34511	55128
385	34600	55038
386	34690	54948
387	34779	54857
388	34868	54768
389	34958	54677
390	35046	54586
391	35136	54497
392	35225	54406
393	35314	54315
394	35404	54227
395	35494	54138
396	35583	54046
397	35675	53960
398	35765	53871
399	35853	53780
400	35944	53692
401	36031	53599
402	36121	53509
403	36210	53419
404	36301	53331
405	36390	53241
406	36479	53150
407	36568	53060
408	36659	52971
409	36748	52882
410	36837	52792
411	36927	52703
412	37016	52611
413	37104	52519
414	37193	52429
415	37280	52335
416	37371	52248
417	37460	52158
418	37548	52066
419	37639	51978
420	37729	51889
421	37818	51799
422	37907	51707
423	37995	51617
424	38086	51528
425	38175	51438
426	38263	51346
427	38351	51254
428	38439	51162
429	38527	51071
430	38616	50980
431	38703	50887
432	38794	50800
433	38884	50711
434	38972	50619
435	39061	50529
436	39152	50440
437	39240	50350
438	39330	50260
439	39420	50171
440	39509	50080
441	39598	49990
442	39687	49900
443	39775	49809
444	39864	49719
445	39954	49629
446	40045	49541
447	40135	49452
448	40224	49362
449	40313	49271
450	40402	49181
451	40492	49092
452	40581	49002
453	40671	48912
454	40759	48822
455	40850	48733
456	40940	48644
457	41028	48553
458	41117	48463
459	41206	48372
460	41294	48280
461	41383	48191
462	41474	48103
463	41563	48012
464	41652	47923
465	41743	47834
466	41830	47742
467	41919	47652
468	42008	47561
469	42096	47470
470	42186	47381
471	42276	47291
472	42365	47202
473	42453	47111
474	42544	47023
475	42633	46932
476	42721	46841
477	42811	46752
478	42898	46660
479	42989	46571
480	43076	46479
481	43165	46389
482	43256	46301
483	43346	46212
484	43435	46122
485	43523	46030
486	43615	45944
487	43704	45853
488	43792	45762
489	43882	45673
490	43971	45583
491	44060	45493
492	44150	45403
493	44237	45312
494	44327	45223
495	44417	45134
496	44507	45045
497	44597	44955
498	44686	44865
499	44773	44773
500	44863	44684
501	44951	44592
502	45040	44502
503	45128	44411
504	45218	44322
505	45308	44234
506	45398	44144
507	45487	44055
508	45575	43964
509	45664	43874
510	45753	43783
511	45843	43694
512	45931	43603
513	46020	43514
514	46110	43424
515	46197	43332
516	46286	43242
517	46376	43153
518	46465	43063
519	46553	42972
520	46643	42883
521	46733	42793
522	46823	42704
523	46912	42615
524	47003	42527
525	47093	42437
526	47183	42348
527	47271	42257
528	47361	42169
529	47451	42079
530	47542	41991
531	47631	41901
532	47723	41813
533	47811	41723
534	47901	41633
535	47990	41544
536	48081	41455
537	48169	41364
538	48257	41273
539	48346	41183
540	48435	41094
541	48524	41004
542	48613	40914
543	48703	40825
544	48796	40738
545	48885	40648
546	48974	40558
547	49064	40469
548	49151	40377
549	49240	40287
550	49330	40198
551	49419	40108
552	49508	40018
553	49597	39928
554	49688	39840
555	49777	39750
556	49866	39660
557	49955	39570
558	50044	39480
559	50133	39390
560	50222	39300
561	50310	39210
562	50401	39121
563	50490	39031
564	50580	38942
565	50670	38853
566	50762	38765
567	50853	38677
568	50942	38587
569	51031	38497
570	51120	38407
571	51209	38317
572	51297	38227
573	51387	38137
574	51476	38047
575	51565	37958
576	51655	37868
577	51743	37778
578	51831	37687
579	51920	37597
580	52011	37509
581	52099	37418
582	52188	37328
583	52278	37239
584	52367	37149
585	52459	37061
586	52546	36970
587	52636	36881
588	52726	36792
589	52815	36702
590	52903	36611
591	52992	36521
592	53082	36432
593	53170	36341
594	53259	36252
595	53348	36162
596	53438	36073
597	53527	35983
598	53615	35893
599	53703	35802
600	53791	35711
601	53884	35624
602	53973	35534
603	54061	35444
604	54150	35354
605	54241	35265
606	54330	35175
607	54420	35086
608	54507	34996
609	54599	34907
610	54686	34816
611	54776	34727
612	54868	34639
613	54955	34548
614	55044	34458
615	55133	34368
616	55224	34280
617	55314	34191
618	55403	34101
619	55494	34012
620	55585	33923
621	55675	33834
622	55765	33745
623	55854	33655
624	55943	33565
625	56032	33476
626	56119	33385
627	56208	33295
628	56299	33206
629	56386	33115
630	56476	33026
631	56566	32937
632	56656	32848
633	56746	32758
634	56834	32668
635	56923	32579
636	57014	32490
637	57104	32400
638	57192	32310
639	57281	32220
640	57370	32131
641	57460	32041
642	57548	31951
643	57635	31860
644	57723	31770
645	57813	31681
646	57902	31591
647	57991	31501
648	58079	31411
649	58168	31321
650	58260	31233
651	58347	31142
652	58436	31053
653	58528	30964
654	58617	30874
655	58706	30784
656	58795	30695
657	58882	30604
658	58970	30514
659	59061	30425
660	59151	30336
661	59241	30246
662	59328	30156
663	59417	30066
664	59505	29976
665	59597	29888
666	59686	29798
667	59776	29709
668	59865	29619
669	59954	29529
670	60042	29439
671	60129	29349
672	60219	29259
673	60309	29170
674	60400	29081
675	60491	28992
676	60582	28904
677	60673	28815
678	60760	28724
679	60853	28636
680	60942	28547
681	61033	28458
682	61121	28368
683	61211	28278
684	61300	28189
685	61389	28099
686	61478	28009
687	61567	27920
688	61655	27830
689	61746	27741
690	61835	27651
691	61926	27562
692	62016	27473
693	62103	27383
694	62194	27294
695	62282	27203
696	62371	27114
697	62460	27024
698	62548	26934
699	62637	26844
700	62726	26754
701	62814	26664
702	62903	26575
703	62994	26486
704	63084	26397
705	63174	26307
706	63265	26218
707	63353	26128
708	63441	26038
709	63529	25948
710	63617	25858
711	63704	25768
712	63793	25678
713	63883	25589
714	63973	25500
715	64063	25410
716	64152	25321
717	64240	25230
718	64334	25143
719	64422	25053
720	64510	24963
721	64599	24873
722	64687	24783
723	64775	24693
724	64863	24603
725	64954	24514
726	65043	24424
727	65135	24336
728	65226	24247
729	65314	24157
730	65404	24068
731	65493	23978
732	65584	23889
733	65675	23800
734	65762	23710
735	65852	23621
736	65943	23532
737	66031	23442
738	66120	23352
739	66208	23262
740	66298	23173
741	66389	23084
742	66481	22995
743	66572	22906
744	66661	22816
745	66748	22726
746	66838	22637
747	66929	22548
748	67018	22458
749	67108	22369
750	67199	22280
751	67286	22190
752	67380	22102
753	67469	22012
754	67558	21922
755	67649	21833
756	67739	21744
757	67827	21654
758	67916	21565
759	68006	21475
760	68095	21386
761	68184	21296
762	68274	21207
763	68363	21117
764	68454	21028
765	68542	20938
766	68631	20849
767	68724	20760
768	68813	20670
769	68902	20581
770	68990	20491
771	69079	20401
772	69167	20311
773	69256	20222
