1,2,3,4,5,6,7,8,9,10,11,12,Ans
0.01156,0.0181476,0.0177598,0.0180009,0.0410568,0.0288527,0.0301474,0.0238884,0.0227864,0.0156344,0.0202134,0.292578,3
0.0154568,0.0146881,0.013458,0.0172409,0.0395232,0.0223042,0.0249404,0.0212289,0.0236779,0.0171021,0.0215882,0.270671,3
0.0148967,0.0198419,0.0218258,0.0196288,0.0282043,0.0285966,0.0212336,0.0317208,0.0148667,0.0177692,0.0161201,0.269941,3
0.0138154,0.0174598,0.0156534,0.0205635,0.0383524,0.0300503,0.0256667,0.0160968,0.0295262,0.021532,0.0167295,0.265108,3
0.0157063,0.0149365,0.0144892,0.0158375,0.0375007,0.0260358,0.0184383,0.0183921,0.0171554,0.0148804,0.0155304,0.273115,3
0.0196203,0.0182867,0.0143646,0.0154226,0.0507192,0.023941,0.0284237,0.0210767,0.0244618,0.0214095,0.0211694,0.279897,3
0.0153271,0.0167243,0.0138072,0.0188901,0.0376993,0.0246257,0.0314204,0.0202522,0.0251983,0.0183649,0.0179428,0.275622,3
0.0135264,0.0146746,0.0153003,0.0128626,0.0303939,0.024799,0.0301181,0.02178,0.0211361,0.0151769,0.0222968,0.2774,3
0.0144199,0.017844,0.0155823,0.0199859,0.0354229,0.0327603,0.021655,0.0330041,0.0170034,0.0222599,0.0216114,0.311285,3
0.0159308,0.0182148,0.018124,0.0222287,0.0314595,0.0273528,0.0269664,0.0174577,0.0237281,0.0203124,0.0210365,0.276938,3
0.0202617,0.0154094,0.017003,0.0163589,0.0400769,0.0260294,0.0248565,0.0219631,0.0258028,0.0166869,0.0126568,0.280002,3
0.012449,0.0151007,0.012653,0.0170954,0.043488,0.0340522,0.0247469,0.0247788,0.0280115,0.0184717,0.0138058,0.285116,3
0.0153529,0.01741,0.0150682,0.0232259,0.0394068,0.0217672,0.0232163,0.0212291,0.0182731,0.0287531,0.0164788,0.27167,3
0.0186522,0.0131213,0.013393,0.0178934,0.0372319,0.0266027,0.0263318,0.0214528,0.0322278,0.0241445,0.0205107,0.277823,3
0.0173127,0.0140709,0.0139843,0.0182504,0.0501679,0.0300897,0.0208615,0.0185315,0.0195814,0.0173577,0.0174915,0.278292,3
0.0144323,0.011182,0.0143147,0.0226002,0.0417457,0.0351358,0.0246677,0.0258928,0.023544,0.0210576,0.0182152,0.282898,3
0.0159449,0.0142401,0.0161045,0.0142517,0.0331328,0.0245134,0.0273275,0.0196314,0.0238885,0.0186165,0.0159833,0.287006,3
0.0170707,0.0174259,0.0173748,0.021567,0.0347959,0.0238145,0.0281061,0.0227256,0.0225053,0.0237016,0.0138972,0.269831,3
0.0177572,0.0159492,0.015706,0.0167223,0.0532421,0.0335593,0.0267786,0.0298753,0.0214975,0.0247637,0.0178935,0.315599,3
0.0170497,0.0119097,0.0212278,0.0188746,0.0425348,0.0397757,0.0309423,0.0189618,0.0265845,0.0190732,0.0278757,0.320297,3
