iter	MultiClass	Accuracy
0	-2.39643319	0.5133333333
1	-2.309648418	0.6744444444
2	-2.231124183	0.6877777778
3	-2.168366809	0.7055555556
4	-2.117890008	0.7066666667
5	-2.053775361	0.75
6	-1.988351825	0.7722222222
7	-1.926409766	0.7666666667
8	-1.864776218	0.7722222222
9	-1.812216469	0.7688888889
10	-1.76535987	0.7722222222
11	-1.717820729	0.77
12	-1.673092558	0.77
13	-1.628718123	0.7877777778
14	-1.589745965	0.7933333333
15	-1.551607639	0.7977777778
16	-1.518551606	0.7966666667
17	-1.489188722	0.8033333333
18	-1.456453888	0.8011111111
19	-1.421596292	0.7988888889
20	-1.389811763	0.8033333333
21	-1.360720239	0.8033333333
22	-1.331788032	0.8033333333
23	-1.30750622	0.8055555556
24	-1.27729963	0.8111111111
25	-1.249718869	0.8122222222
26	-1.226922199	0.8144444444
27	-1.204004186	0.8144444444
28	-1.181415462	0.8144444444
29	-1.159793551	0.8177777778
30	-1.138125717	0.8177777778
31	-1.119965981	0.8144444444
32	-1.10222527	0.8222222222
33	-1.084279346	0.8222222222
34	-1.066406824	0.8244444444
35	-1.050705002	0.8266666667
36	-1.038566161	0.8322222222
37	-1.023102007	0.83
38	-1.007346215	0.8255555556
39	-0.9906672834	0.8266666667
40	-0.9743897882	0.83
41	-0.9598181061	0.83
42	-0.9466958803	0.8322222222
43	-0.9336274096	0.8322222222
44	-0.9206617392	0.8322222222
45	-0.9085248135	0.8311111111
46	-0.8949218969	0.8344444444
47	-0.8825139599	0.8366666667
48	-0.8730201007	0.8377777778
49	-0.8600118746	0.8355555556
50	-0.8485506866	0.8366666667
51	-0.8376085154	0.8366666667
52	-0.8263931863	0.8333333333
53	-0.8165551679	0.8377777778
54	-0.8060655336	0.8377777778
55	-0.796488599	0.8388888889
56	-0.7860560909	0.8366666667
57	-0.775845343	0.8633333333
58	-0.7665886014	0.8644444444
59	-0.7579367145	0.8633333333
60	-0.7493190439	0.8722222222
61	-0.7409200486	0.8744444444
62	-0.734524782	0.8766666667
63	-0.7284438245	0.8766666667
64	-0.7221646093	0.8744444444
65	-0.7142488212	0.8766666667
66	-0.7053727707	0.8777777778
67	-0.6995472267	0.8777777778
68	-0.6921600067	0.8777777778
69	-0.6859815834	0.8777777778
70	-0.6789036475	0.8777777778
71	-0.6724843198	0.88
72	-0.6651324125	0.8811111111
73	-0.658668077	0.8822222222
74	-0.6528778442	0.8822222222
75	-0.6469367315	0.8833333333
76	-0.641528257	0.8811111111
77	-0.6361875225	0.8822222222
78	-0.6313282289	0.8822222222
79	-0.6252619992	0.8833333333
80	-0.6209734084	0.8833333333
81	-0.615593985	0.8844444444
82	-0.6112883148	0.8833333333
83	-0.6069771411	0.8833333333
84	-0.6023004045	0.8833333333
85	-0.5980651075	0.8866666667
86	-0.5933781281	0.8888888889
87	-0.5889911538	0.8877777778
88	-0.58374879	0.8911111111
89	-0.579266067	0.8911111111
90	-0.5737616376	0.8911111111
91	-0.5695933676	0.8944444444
92	-0.5651904899	0.8944444444
93	-0.5614332682	0.8955555556
94	-0.5570046698	0.8966666667
95	-0.5529308697	0.8966666667
96	-0.5486142581	0.8966666667
97	-0.5447899708	0.9
98	-0.54076636	0.9011111111
99	-0.5370301576	0.9011111111
100	-0.5324948066	0.9011111111
101	-0.5288860268	0.9033333333
102	-0.5249721785	0.9033333333
103	-0.5212345033	0.9022222222
104	-0.5178780769	0.9022222222
105	-0.5146025232	0.9022222222
106	-0.510825678	0.9022222222
107	-0.5074205115	0.9022222222
108	-0.504604497	0.9022222222
109	-0.5016524431	0.9022222222
110	-0.4991966089	0.9022222222
111	-0.4961878016	0.9022222222
112	-0.4939320518	0.9022222222
113	-0.4909826493	0.9022222222
114	-0.4881684596	0.9022222222
115	-0.4860106097	0.9033333333
116	-0.4828938593	0.9044444444
117	-0.4803682149	0.9044444444
118	-0.4775856082	0.9055555556
119	-0.475721919	0.9055555556
120	-0.4731667541	0.9055555556
121	-0.4701676832	0.9055555556
122	-0.4676468933	0.9066666667
123	-0.4653723068	0.9066666667
124	-0.4627607454	0.9044444444
125	-0.4600106786	0.9044444444
126	-0.4578345898	0.9055555556
127	-0.4551261284	0.9044444444
128	-0.4533411594	0.9044444444
129	-0.4510085023	0.9044444444
130	-0.4488737777	0.9022222222
131	-0.4467461238	0.9044444444
132	-0.4447743999	0.9055555556
133	-0.4420322196	0.9088888889
134	-0.440092441	0.9088888889
135	-0.4379824503	0.9088888889
136	-0.4363296252	0.9077777778
137	-0.4342581822	0.9066666667
138	-0.4322087572	0.9055555556
139	-0.4305609142	0.9066666667
