iter	Passed	Remaining
0	132	132386
1	218	109112
2	306	101992
3	399	99531
4	513	102185
5	602	99774
6	690	97924
7	777	96392
8	866	95366
9	953	94385
10	1039	93495
11	1126	92727
12	1214	92207
13	1297	91386
14	1384	90895
15	1473	90636
16	1565	90531
17	1657	90432
18	1746	90184
19	1835	89924
20	1922	89625
21	2010	89385
22	2103	89342
23	2197	89363
24	2287	89208
25	2396	89767
26	2486	89623
27	2577	89459
28	2671	89434
29	2763	89353
30	2864	89530
31	2962	89617
32	3056	89560
33	3151	89532
34	3254	89734
35	3353	89809
36	3446	89698
37	3552	89938
38	3660	90203
39	3753	90086
40	3841	89847
41	3934	89741
42	4029	89685
43	4132	89781
44	4226	89694
45	4317	89533
46	4402	89271
47	4488	89025
48	4572	88745
49	4658	88517
50	4746	88324
51	4837	88185
52	4920	87919
53	5015	87860
54	5102	87670
55	5198	87631
56	5285	87449
57	5377	87340
58	5467	87205
59	5567	87228
60	5658	87099
61	5756	87097
62	5848	86991
63	5939	86867
64	6025	86679
65	6115	86541
66	6199	86336
67	6288	86184
68	6376	86041
69	6474	86016
70	6571	85979
71	6660	85842
72	6750	85725
73	6842	85625
74	6931	85488
75	7020	85357
76	7111	85249
77	7207	85194
78	7299	85104
79	7392	85009
80	7486	84940
81	7577	84831
82	7678	84837
83	7777	84810
84	7870	84722
85	7961	84610
86	8047	84447
87	8137	84333
88	8227	84217
89	8324	84170
90	8426	84168
91	8535	84244
92	8634	84211
93	8723	84083
94	8813	83964
95	8898	83798
96	8986	83660
97	9084	83614
98	9171	83473
99	9261	83352
100	9350	83229
101	9459	83279
102	9557	83235
103	9648	83121
104	9744	83058
105	9836	82958
106	9933	82901
107	10030	82848
108	10125	82772
109	10223	82721
110	10319	82647
111	10435	82734
112	10521	82591
113	10617	82515
114	10709	82416
115	10803	82330
116	10899	82258
117	10992	82163
118	11081	82043
119	11171	81921
120	11261	81811
121	11351	81695
122	11444	81600
123	11532	81474
124	11625	81376
125	11715	81261
126	11808	81170
127	11904	81101
128	11993	80980
129	12097	80960
130	12188	80853
131	12298	80870
132	12386	80743
133	12478	80647
134	12569	80535
135	12664	80457
136	12768	80433
137	12862	80342
138	12954	80246
139	13051	80171
140	13139	80049
141	13228	79930
142	13327	79870
143	13426	79812
144	13510	79668
145	13596	79529
146	13681	79387
147	13771	79280
148	13866	79195
149	13959	79103
150	14061	79058
151	14146	78923
152	14234	78801
153	14319	78663
154	14416	78593
155	14511	78510
156	14601	78401
157	14689	78279
158	14784	78197
159	14883	78138
160	14980	78063
161	15076	77990
162	15178	77940
163	15281	77900
164	15389	77878
165	15483	77793
166	15573	77679
167	15662	77568
168	15750	77448
169	15840	77341
170	15931	77237
171	16017	77109
172	16103	76980
173	16187	76843
174	16270	76705
175	16362	76607
176	16453	76503
177	16538	76376
