1,2,3,4,5,6,7,8,9,10,11,12,Ans
0.00326439,0.0027795,0.00348961,0.00380326,0.00343312,0.00303141,0.00306728,0.0050252,0.00219543,0.00305309,0.00273527,0.054956,11
0.00318023,0.00364061,0.00269109,0.00319911,0.00330373,0.00393316,0.00285498,0.00290817,0.00324265,0.00288817,0.00320692,0.0529409,11
5.70318,0.0747442,0.0907861,0.070325,0.0257711,0.0398991,0.0376448,0.0267353,0.0199215,0.0230693,0.0256149,5.05182,11
6.64642,0.103649,0.126681,0.0897297,0.0482934,0.0653736,0.0704748,0.0295449,0.0239485,0.027832,0.0350619,6.03884,11
5.28242,0.0760436,0.13611,0.11355,0.0417209,0.0541191,0.0845569,0.0244244,0.0259745,0.0577485,0.032494,6.08078,11
6.26218,0.0593837,0.142365,0.138951,0.0230181,0.0717949,0.0906592,0.0311325,0.031058,0.0352866,0.0411198,6.05335,11
6.19683,0.0829886,0.147725,0.103366,0.0372094,0.0516538,0.0849909,0.0377156,0.0337833,0.0366374,0.0337376,6.03388,11
7.55603,0.0586234,0.118921,0.0713565,0.0294414,0.0505517,0.0739431,0.0291351,0.0206166,0.0382638,0.0296694,6.01539,11
6.40968,0.090025,0.12684,0.12951,0.0315973,0.0640484,0.0733486,0.0344509,0.0211415,0.0678196,0.0335955,6.02442,11
7.73185,0.0570545,0.139638,0.0661655,0.0348419,0.0532844,0.0368544,0.0309483,0.0234782,0.0215913,0.0258165,5.97983,11
6.00433,0.0719547,0.123115,0.112127,0.0512509,0.0531665,0.0795689,0.0349802,0.0167793,0.062737,0.0386521,5.99043,11
6.26731,0.101048,0.188795,0.138152,0.0426901,0.0772074,0.0859733,0.0316712,0.0178598,0.0586474,0.045838,5.99986,11
6.25524,0.0813456,0.115139,0.104852,0.0360414,0.0550296,0.0578989,0.0300206,0.0249924,0.0243982,0.0404412,5.97975,11
5.77322,0.0825885,0.140602,0.144991,0.0405015,0.0839541,0.0917483,0.0359108,0.0235036,0.0629289,0.0363696,5.9772,11
5.92266,0.0836923,0.176913,0.123267,0.0486255,0.0482384,0.0911851,0.0324355,0.0287612,0.0364405,0.0399378,5.99884,11
7.93846,0.0642756,0.142578,0.0903733,0.0437124,0.0510133,0.0801017,0.0272456,0.0138758,0.0257584,0.0317243,6.00989,11
7.68863,0.0892159,0.150357,0.0880048,0.0312602,0.06222,0.058931,0.0344515,0.0278936,0.0252005,0.0383903,5.96444,11
5.44746,0.100508,0.158291,0.0913095,0.0371524,0.0596885,0.0714879,0.0286005,0.017305,0.0350403,0.0299377,5.9685,11
5.64675,0.102467,0.182197,0.149064,0.0515427,0.076351,0.104337,0.0440082,0.0202563,0.0409283,0.0386518,6.01323,11
8.16793,0.0678919,0.133579,0.0743315,0.0357442,0.0518974,0.0597579,0.0203147,0.016379,0.0192164,0.0353923,5.97921,11
6.58001,0.116786,0.137322,0.114255,0.0334091,0.0562329,0.0764346,0.0329957,0.0215075,0.0340813,0.0415921,5.99716,11
6.55972,0.107408,0.153992,0.206829,0.0533397,0.100887,0.0786645,0.0415527,0.0184672,0.0520181,0.0434197,5.99266,11
6.2714,0.120391,0.192297,0.132127,0.0292491,0.0663028,0.103361,0.0233943,0.0169076,0.0667767,0.033008,6.00745,11
6.07952,0.0594746,0.190007,0.119872,0.0349166,0.0686464,0.0667091,0.0405932,0.0169521,0.0332376,0.0403453,5.99264,11
7.5986,0.0602599,0.128156,0.107427,0.0349374,0.0537737,0.0479562,0.028672,0.0237158,0.0405399,0.0372855,5.97598,11
5.65136,0.092718,0.192517,0.104814,0.0347604,0.0596537,0.0894233,0.0290902,0.020335,0.0491189,0.0457585,5.99915,11
5.57148,0.0824541,0.183238,0.140959,0.0328962,0.0771016,0.0798098,0.0332304,0.0218006,0.0405722,0.044077,5.99127,11
7.62274,0.0790611,0.140001,0.109725,0.0327231,0.0562678,0.0473628,0.0321482,0.0192198,0.0286558,0.0281392,5.98038,11
5.50169,0.0736697,0.199207,0.0950395,0.0399006,0.067956,0.07244,0.0263297,0.0305411,0.0330011,0.0392523,5.95662,11
